2.2.0.a.1 ['x^2*(x^2+1728*y^2)', 'y^2*x^2'] ['1', '1']
2.3.0.a.1 ['x^3*(x+8*y)^3', 'y^2*x^3*(x+24*y)'] ['1', '1']
2.6.0.a.1 ['x^6*(x^2+192*y^2)^3', 'y^2*x^6*(x-8*y)^2*(x+8*y)^2'] ['1', '1']
3.3.0.a.1 ['x^6', 'y^3*x^3'] ['1', '2^3']
3.4.0.a.1 ['x^4*(x-18*y)^3*(x+30*y)', 'y^3*x^4*(x-24*y)'] ['1', '2^3']
3.6.0.b.1 ['x^6*(x-6*y)^3*(x+18*y)^3', 'y^3*x^6*(x+12*y)^3'] ['1', '2^3']
3.12.0.a.1 ['x^15*(x+6*y)^3*(x^2-6*x*y+36*y^2)^3', 'y^3*x^12*(x-3*y)^3*(x^2+3*x*y+9*y^2)^3'] ['1', '1']
4.2.0.a.1 ['x^2*(1728*x^2-y^2)', 'x^4'] ['1', '1']
4.4.0.a.1 ['x^4*(x-12*y)*(x+4*y)^3', 'y^4*x^4'] ['-1', '2^2']
4.6.0.a.1 ['x^6*(x^2-4*x*y+y^2)^3', 'x^6*(x-y)^2*(x^2+y^2)^2'] ['2^7', '1']
4.6.0.d.1 ['x^6*(16*x^2+y^2)^3', 'y^2*x^10'] ['1', '1']
4.6.0.b.1 ['x^6*(x^2+48*y^2)^3', 'y^4*x^6*(x^2+64*y^2)'] ['1', '1']
4.6.0.e.1 ['x^6*(x-4*y)^3*(x+4*y)^3', 'y^4*x^8'] ['1', '1']
4.6.0.c.1 ['x^6*(48*x^2-y^2)^3', 'x^10*(8*x-y)*(8*x+y)'] ['1', '1']
4.8.0.b.1 ['x^8*(x^2-4*x*y-104*y^2)*(x^2+12*x*y+24*y^2)^3', 'y^4*x^8*(x+8*y)^4'] ['-1', '2^2']
4.12.0.b.1 ['x^12*(256*x^4-16*x^2*y^2+y^4)^3', 'y^4*x^16*(4*x-y)^2*(4*x+y)^2'] ['1', '1']
4.12.0.a.1 ['x^12*(x^2-4*x*y+16*y^2)^3*(x^2+4*x*y+16*y^2)^3', 'y^4*x^16*(x^2+16*y^2)^2'] ['1', '1']
4.12.0.d.1 ['(4*x-y)^12*(64*x^2-32*x*y+y^2)^3*(64*x^2+32*x*y+y^2)^3', 'y^2*x^2*(4*x-y)^12*(64*x^2+y^2)^4'] ['-1', '2^2']
4.24.0.b.1 ['x^24*(x^4-4*x^3*y+8*x^2*y^2+16*x*y^3+16*y^4)^3*(x^4+4*x^3*y+8*x^2*y^2-16*x*y^3+16*y^4)^3', 'y^4*x^28*(x-2*y)^4*(x+2*y)^4*(x^2+4*y^2)^4'] ['1', '1']
5.5.0.a.1 ['x^5*(x-4*y)^3*(9*x^2+3*x*y+4*y^2)', 'x^10'] ['-2^2', '1']
5.6.0.a.1 ['x^6*(19*x^2+8*x*y-16*y^2)^3', 'x^11*(3*x-2*y)'] ['1', '2']
5.10.0.a.1 ['(x+y)^3*(2*x+y)^11*(6*x^2-3*x*y+y^2)^3', '(2*x+y)^10*(4*x^2-2*x*y-y^2)^5'] ['-2^6*5^3', '1']
5.15.0.a.1 ['x^15*(x+y)^3*(x^2+2*x*y-4*y^2)^3*(3*x^2+6*x*y+8*y^2)^3', 'x^20*(x^2+12*x*y+16*y^2)^5'] ['-2^15', '1']
5.30.0.b.1 ['(x+y)^3*(4*x-3*y)^33*(6*x^2-9*x*y+34*y^2)^3*(16*x^2+46*x*y+79*y^2)^3*(16*x^4+92*x^3*y+719*x^2*y^2+883*x*y^3+2641*y^4)^3', '(4*x-3*y)^30*(4*x^2-6*x*y-59*y^2)^5*(176*x^4+312*x^3*y+1644*x^2*y^2+998*x*y^3+1891*y^4)^5'] ['2^12*5^4', '1']
5.30.0.a.1 ['x^30*(x^2-12*x*y+16*y^2)^3*(x^4-4*x^3*y+176*x^2*y^2+256*x*y^3+4096*y^4)^3*(x^4+16*x^3*y+176*x^2*y^2+896*x*y^3+7936*y^4)^3', 'y^5*x^30*(x+4*y)^5*(x^4-4*x^3*y+96*x^2*y^2-384*x*y^3+2816*y^4)^5'] ['-1', '2^10']
6.6.0.b.1 ['x^9*(x^3+128*y^3)', 'y^6*x^6'] ['-3^3', '2^6']
6.8.0.a.1 ['x^8*(x^2+12*y^2)^3*(x^2+108*y^2)', 'y^6*x^10'] ['1', '2^6']
6.9.0.a.1 ['x^9*(x^3-128*y^3)^3', 'y^6*x^12'] ['1', '2^6']
6.12.0.a.1 ['x^12*(x+2*y)^3*(x^3+6*x^2*y-84*x*y^2-568*y^3)^3', 'y^6*x^12*(x-10*y)*(x+6*y)^3*(x+8*y)^2'] ['1', '2^6']
6.18.0.b.1 ['x^18*(x^3+6*x^2*y-36*x*y^2-248*y^3)^3*(x^3+6*x^2*y+12*x*y^2+40*y^3)^3', 'y^6*x^18*(x-2*y)^3*(x+4*y)^6*(x+6*y)^3'] ['1', '2^6']
6.24.0.a.1 ['x^24*(x^2+12*y^2)^3*(x^6-60*x^4*y^2+1200*x^2*y^4+192*y^6)^3', 'y^6*x^26*(x-6*y)^2*(x-2*y)^6*(x+2*y)^6*(x+6*y)^2'] ['1', '2^6']
6.24.0.c.1 ['(x-10*y)^24*(x-4*y)^3*(x^3-12*x^2*y+48*x*y^2-118*y^3)^3*(x^3-12*x^2*y+48*x*y^2-10*y^3)*(x^3-12*x^2*y+48*x*y^2+44*y^3)^3', 'y^6*(x-10*y)^24*(x-y)^6*(x^2-11*x*y+37*y^2)^6'] ['-1', '3^3']
6.36.0.a.1 ['x^36*(x^3-2*y^3)^3*(x^3+6*x*y^2-2*y^3)^3*(x^6-6*x^4*y^2-4*x^3*y^3+36*x^2*y^4+12*x*y^5+4*y^6)^3', 'y^6*x^39*(x-2*y)^3*(x+y)^6*(x^2-x*y+y^2)^6*(x^2+2*x*y+4*y^2)^3'] ['1', '1']
7.8.0.a.1 ['x^8*(x^2-6*x*y-12*y^2)^3*(13*x^2-30*x*y+36*y^2)', 'x^15*(2*x+3*y)'] ['3^3', '2']
7.21.0.a.1 ['(5*x+12*y)^3*(5*x+24*y)^21*(25*x^2-20*x*y+32*y^2)^3*(25*x^2+120*x*y+256*y^2)^3*(125*x^2+320*x*y-64*y^2)^3', '(5*x+24*y)^21*(125*x^3+200*x^2*y-640*x*y^2-512*y^3)^7'] ['2^6', '1']
7.28.0.a.1 ['(x-y)^29*(x+y)^3*(x^2-12*x*y+15*y^2)^3*(x^2-12*x*y+43*y^2)^3*(x^4-14*x^3*y+68*x^2*y^2-154*x*y^3+211*y^4)^3', 'y^7*(x-y)^28*(x^3-11*x^2*y+31*x*y^2-13*y^3)^7'] ['1', '2^7']
8.8.0.a.1 ['(x+y)^8*(x^2-12*x*y-18*y^2)*(3*x^2+12*x*y+10*y^2)^3', '(x+y)^8*(x^2-2*y^2)^4'] ['2^6', '1']
8.12.0.v.1 ['x^12*(x-2*y)^3*(x+2*y)^3*(x^2-12*y^2)^3', 'y^8*x^12*(x^2-8*y^2)^2'] ['1', '1']
8.12.0.z.1 ['x^12*(x-2*y)^3*(x+2*y)^3*(x^2+4*y^2)^3', 'y^8*x^16'] ['1', '1']
8.12.0.s.1 ['(12*x+y)^12*(24*x^2-y^2)^3*(216*x^2+96*x*y+19*y^2)^3', '(12*x+y)^16*(72*x^2-48*x*y-17*y^2)^4'] ['2^6*3^3*5^3', '1']
8.12.0.t.1 ['(x+y)^12*(x^2+8*x*y-2*y^2)^3*(7*x^2+8*x*y+10*y^2)^3', '(x+y)^16*(x^2+2*y^2)^4'] ['2^4', '3^4']
8.12.0.n.1 ['x^12*(x^4-16*x^2*y^2+16*y^4)^3', 'y^8*x^14*(x-4*y)*(x+4*y)'] ['1', '1']
8.12.0.o.1 ['x^12*(x^4+16*x^2*y^2+16*y^4)^3', 'y^8*x^14*(x^2+16*y^2)'] ['1', '1']
8.12.0.h.1 ['(x-4*y)^12*(7*x^4-96*x^3*y+704*x^2*y^2-3072*x*y^3+7168*y^4)^3', '(x-4*y)^12*(x^2-16*x*y+32*y^2)^4*(x^2-8*x*y+32*y^2)^2'] ['2^5', '1']
8.12.0.q.1 ['x^12*(x^2+4*y^2)^3*(x^2+12*y^2)^3', 'y^8*x^12*(x^2+8*y^2)^2'] ['1', '1']
8.12.0.g.1 ['(4*x-y)^12*(4096*x^4+4096*x^3*y+128*x^2*y^2-64*x*y^3+y^4)^3', '(4*x-y)^12*(64*x^2+y^2)^4*(64*x^2+16*x*y-y^2)^2'] ['2^7', '1']
8.12.0.w.1 ['x^12*(x^4+16*y^4)^3', 'y^8*x^16'] ['1', '1']
8.16.0.a.1 ['y*(x+6*y)^19*(x^2-12*x*y-72*y^2)^3*(x^2+12*x*y+72*y^2)^3', '(x+6*y)^16*(x^2+24*x*y+72*y^2)^8'] ['2^18*3', '1']
8.24.0.q.1 ['x^24*(x^4-16*x^3*y+8*x^2*y^2+64*x*y^3+16*y^4)^3*(x^4+16*x^3*y+8*x^2*y^2-64*x*y^3+16*y^4)^3', 'y^2*x^26*(x-2*y)^2*(x+2*y)^2*(x^2+4*y^2)^8'] ['-1', '1']
8.24.0.bi.1 ['(x+2*y)^24*(x^2-8*x*y-8*y^2)^3*(5*x^2+8*x*y-40*y^2)^3*(17*x^4-32*x^3*y+48*x^2*y^2+256*x*y^3+1088*y^4)^3', '(x-4*y)^4*(x+2*y)^28*(x^2+16*x*y-8*y^2)^8'] ['3^3', '1']
8.24.0.t.1 ['x^24*(x^4-4*x^2*y^2+y^4)^3*(x^4+4*x^2*y^2+y^4)^3', 'y^4*x^28*(x^4+y^4)^4'] ['-2^4', '1']
8.24.0.bj.1 ['(x-2*y)^24*(x^2+4*x*y-28*y^2)^3*(7*x^2-4*x*y-4*y^2)^3*(25*x^4-24*x^3*y-40*x^2*y^2-96*x*y^3+400*y^4)^3', '(x-2*y)^28*(x+2*y)^4*(3*x^2-4*x*y+12*y^2)^8'] ['1', '1']
8.24.0.bp.1 ['(x-2*y)^24*(x^2+4*x*y-28*y^2)^3*(7*x^2-4*x*y-4*y^2)^3*(11*x^4-72*x^3*y+392*x^2*y^2-288*x*y^3+176*y^4)^3', '(x-2*y)^24*(x^2-12*x*y+4*y^2)^4*(3*x^2-4*x*y+12*y^2)^8'] ['-2^6', '1']
8.24.0.f.1 ['x^24*(x^2-x*y+y^2)^3*(x^2+x*y+y^2)^3*(x^4-x^2*y^2+y^4)^3', 'y^8*x^32*(x^4+y^4)^2'] ['2^8', '1']
8.24.0.bq.1 ['(x-y)^24*(x^2-4*x*y+6*y^2)^3*(3*x^2-4*x*y+2*y^2)^3*(5*x^4-16*x^3*y+28*x^2*y^2-32*x*y^3+20*y^4)^3', '(x-y)^24*(x^2-2*y^2)^8*(x^2-2*x*y+2*y^2)^4'] ['2^4', '1']
8.24.0.i.1 ['x^24*(x^8+240*x^6*y^2+2144*x^4*y^4+3840*x^2*y^6+256*y^8)^3', 'y^2*x^26*(x-2*y)^8*(x+2*y)^8*(x^2+4*y^2)^2'] ['1', '1']
8.24.0.bf.1 ['x^24*(x^4+y^4)^3*(x^4-4*x^2*y^2+y^4)^3', 'y^8*x^32*(x-y)^4*(x+y)^4'] ['2^4', '1']
8.24.0.be.1 ['(4*x-y)^24*(8*x^2-y^2)^3*(8*x^2-8*x*y+y^2)^3*(64*x^4-64*x^3*y+64*x^2*y^2-24*x*y^3+3*y^4)^3', 'y^4*(4*x-y)^28*(8*x^2-4*x*y+y^2)^8'] ['-2^6', '1']
8.24.0.bt.1 ['x^24*(x^2-2*x*y-2*y^2)^3*(x^2-2*x*y+2*y^2)^3*(x^2+2*x*y-2*y^2)^3*(x^2+2*x*y+2*y^2)^3', 'y^8*x^32*(x^2-2*y^2)^4'] ['1', '1']
8.24.0.bn.1 ['x^24*(x^4+16*y^4)^3*(x^4+16*x^2*y^2+16*y^4)^3', 'y^8*x^32*(x^2+4*y^2)^4'] ['1', '2^4']
8.24.0.bh.1 ['x^24*(x^2-2*x*y+2*y^2)^3*(x^2+2*x*y+2*y^2)^3*(x^4+8*x^2*y^2+4*y^4)^3', 'y^8*x^32*(x^2+2*y^2)^4'] ['1', '1']
8.24.0.bc.1 ['(2*x-y)^24*(4*x^4+12*x^2*y^2+y^4)^3*(12*x^4+4*x^2*y^2+3*y^4)^3', '(2*x-y)^24*(2*x^2-y^2)^8*(2*x^2+y^2)^4'] ['2^6', '1']
