Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1770038789.184	     7.908	0	0	0	0	magma -n genus7.m >| logs/genus7.txt
11	:	1770038797.112	     0.203	0	0	0	0	magma -n twist_isolated_j_families.m >| logs/twist_isolated_j_families.txt
8	:	1770038789.178	     8.193	0	0	0	0	magma -n genus4.m >| logs/genus4.txt
13	:	1770038797.377	     0.227	0	0	0	0	magma -n XS413.m >| logs/XS413.txt
10	:	1770038789.188	     8.982	0	0	0	0	magma -n NonSerre.m >| logs/NonSerre.txt
7	:	1770038789.170	     9.212	0	0	0	0	magma -n genus3.m >| logs/genus3.txt
1	:	1770038789.139	    11.037	0	0	0	0	magma -n AgreeableCurves.m >| logs/AgreeableCurves.txt
12	:	1770038797.332	     4.598	0	0	0	0	magma -n twist_isolated_points.m >| logs/twist_isolated_points.txt
5	:	1770038789.160	    14.905	0	0	0	0	magma -n genus0.m >| logs/genus0.txt
6	:	1770038789.166	    90.593	0	0	0	0	magma -n genus2.m >| logs/genus2.txt
2	:	1770038789.144	   736.296	0	0	0	0	magma -n fibersplicing20.m >| logs/fibersplicing20.txt
4	:	1770038789.155	   851.814	0	0	0	0	magma -n fibersplicingXS4.m >| logs/fibersplicingXS4.txt
